+---------------+------------------+-----------------+
| Player's name | Player's surname | Sessions played |
+---------------+------------------+-----------------+
| Егор          | Козлов           |              22 |
| Антон         | Захаров          |              22 |
| Роман         | Семенов          |              22 |
| Иван          | Кузнецов         |              22 |
| Ангелина      | Гусева           |              22 |
| Виталий       | Макаров          |              22 |
| Николай       | Волков           |              22 |
| Ангелина      | Андреева         |              22 |
| Маргарита     | Кузнецова        |              22 |
| Валентина     | Козлова          |              22 |
| Николай       | Лебедев          |              22 |
| Лариса        | Ильина           |              22 |
| Тамара        | Семенова         |              22 |
| Анастасия     | Ильина           |              22 |
| Олег          | Иванов           |              22 |
| Дарья         | Гусева           |              22 |
| Ирина         | Морозова         |              22 |
| Ангелина      | Макарова         |              22 |
| Ирина         | Федорова         |              22 |
| Антон         | Морозов          |              22 |
| Маргарита     | Козлова          |              22 |
| Евгения       | Захарова         |              22 |
| Ангелина      | Семенова         |              22 |
| Олег          | Кузнецов         |              22 |
| Людмила       | Дмитриева        |              22 |
| Юлия          | Захарова         |              22 |
| Маргарита     | Максимова        |              22 |
| Антон         | Андреев          |              22 |
| Василий       | Захаров          |              22 |
| Юлия          | Киселева         |              22 |
| Олег          | Захаров          |              22 |
| Елена         | Павлова          |              22 |
| Григорий      | Захаров          |              22 |
| Светлана      | Петрова          |              22 |
| Антон         | Семенов          |              22 |
| Виктор        | Иванов           |              22 |
| Виктория      | Киселева         |              22 |
| Денис         | Лебедев          |              22 |
| Егор          | Козлов           |              22 |
| Алексей       | Смирнов          |              22 |
| Алексей       | Киселев          |              22 |
| Ирина         | Киселева         |              22 |
| Светлана      | Андреева         |              22 |
| Григорий      | Андреев          |              22 |
| Александр     | Лебедев          |              22 |
| Алексей       | Киселев          |              22 |
| Антон         | Макаров          |              22 |
| Денис         | Киселев          |              22 |
| Галина        | Сергеева         |              22 |
| Евгения       | Лебедева         |              22 |
| Светлана      | Павлова          |              22 |
| Павел         | Козлов           |              22 |
| Светлана      | Павлова          |              22 |
| Василий       | Гусев            |              22 |
| Алина         | Киселева         |              22 |
| Григорий      | Смирнов          |              22 |
| Светлана      | Кузнецова        |              22 |
| Дарья         | Кузнецова        |              22 |
| Игорь         | Павлов           |              22 |
| Денис         | Соколов          |              22 |
| Михаил        | Новиков          |              22 |
| Светлана      | Гусева           |              22 |
| Александра    | Морозова         |              22 |
| Надежда       | Козлова          |              22 |
| Дарья         | Павлова          |              23 |
| Михаил        | Павлов           |              23 |
| Мария         | Васильева        |              23 |
| Юрий          | Козлов           |              23 |
| Маргарита     | Захарова         |              23 |
| Ольга         | Андреева         |              23 |
| Лариса        | Иванова          |              23 |
| Валентина     | Морозова         |              23 |
| Иван          | Волков           |              23 |
| Тамара        | Петрова          |              23 |
| Владимир      | Семенов          |              23 |
| Максим        | Ильин            |              23 |
| Виктор        | Соколов          |              23 |
| Антон         | Дмитриев         |              23 |
| Ольга         | Павлова          |              23 |
| Егор          | Дмитриев         |              23 |
| Светлана      | Федорова         |              23 |
| Юлия          | Иванова          |              23 |
| Тимофей       | Егоров           |              23 |
| Алина         | Козлова          |              23 |
| Дмитрий       | Макаров          |              23 |
| Тимофей       | Лебедев          |              23 |
| Юрий          | Семенов          |              23 |
| Павел         | Васильев         |              23 |
| Тамара        | Павлова          |              23 |
| Вячеслав      | Павлов           |              23 |
| Артем         | Захаров          |              23 |
| Наталья       | Максимова        |              23 |
| Ирина         | Андреева         |              23 |
| Василий       | Петров           |              23 |
| Виталий       | Козлов           |              23 |
| Егор          | Дмитриев         |              23 |
| Артем         | Ильин            |              23 |
| Екатерина     | Павлова          |              23 |
| Надежда       | Павлова          |              23 |
| Антон         | Козлов           |              23 |
| Дмитрий       | Дмитриев         |              23 |
| Валентина     | Максимова        |              23 |
| Виталий       | Кузнецов         |              23 |
| Алина         | Федорова         |              23 |
| Олег          | Кузнецов         |              23 |
| Алина         | Козлова          |              23 |
| Анастасия     | Ильина           |              23 |
| Юлия          | Захарова         |              23 |
| Виктор        | Сергеев          |              23 |
| Татьяна       | Гусева           |              23 |
| Денис         | Андреев          |              23 |
| Виталий       | Павлов           |              23 |
| Алексей       | Васильев         |              23 |
| Мария         | Максимова        |              23 |
| Виктор        | Лебедев          |              23 |
| Мария         | Павлова          |              23 |
| Тамара        | Козлова          |              23 |
| Дмитрий       | Федоров          |              23 |
| Максим        | Сергеев          |              23 |
| Валентина     | Дмитриева        |              23 |
| Максим        | Петров           |              23 |
| Михаил        | Кузнецов         |              23 |
| Ольга         | Волкова          |              23 |
| Максим        | Соколов          |              23 |
| Светлана      | Соколова         |              23 |
| Вячеслав      | Захаров          |              23 |
| Иван          | Гусев            |              23 |
| Вячеслав      | Смирнов          |              23 |
| Тамара        | Макарова         |              23 |
| Юлия          | Новикова         |              23 |
| Галина        | Сергеева         |              24 |
| Алина         | Киселева         |              24 |
| Юлия          | Макарова         |              24 |
| Елена         | Дмитриева        |              24 |
| Елена         | Гусева           |              24 |
| Дмитрий       | Дмитриев         |              24 |
| Елена         | Соколова         |              24 |
| Елена         | Иванова          |              24 |
| Лариса        | Морозова         |              24 |
| Ольга         | Гусева           |              24 |
| Надежда       | Козлова          |              24 |
| Надежда       | Сергеева         |              24 |
| Роман         | Гусев            |              24 |
| Владимир      | Кузнецов         |              24 |
| Вячеслав      | Иванов           |              24 |
| Андрей        | Смирнов          |              24 |
| Владимир      | Соколов          |              24 |
| Павел         | Захаров          |              24 |
| Тамара        | Андреева         |              24 |
| Валентина     | Максимова        |              24 |
| Александра    | Соколова         |              24 |
| Василий       | Павлов           |              24 |
| Роман         | Козлов           |              24 |
| Григорий      | Киселев          |              24 |
| Надежда       | Козлова          |              24 |
| Юлия          | Сергеева         |              24 |
| Сергей        | Дмитриев         |              24 |
| Антон         | Киселев          |              24 |
| Егор          | Дмитриев         |              24 |
| Антон         | Волков           |              24 |
| Надежда       | Максимова        |              24 |
| Ирина         | Егорова          |              24 |
| Виктория      | Гусева           |              24 |
| Алина         | Сергеева         |              24 |
| Валентина     | Иванова          |              24 |
| Юрий          | Гусев            |              24 |
| Виктория      | Федорова         |              24 |
| Роман         | Иванов           |              24 |
| Анастасия     | Ильина           |              24 |
| Оксана        | Семенова         |              24 |
| Людмила       | Волкова          |              24 |
| Елена         | Морозова         |              24 |
| Михаил        | Иванов           |              24 |
| Мария         | Петрова          |              24 |
| Игорь         | Андреев          |              24 |
| Дарья         | Морозова         |              24 |
| Виктор        | Дмитриев         |              24 |
